country,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,696,751,855,943,993,1030,1070,1100,1110,1120,1140,1180,1190,1230,1280,1300,1300,1310,1330,1340,1370,1390,1410,1430,1440,1470,1500,1550,1580,1610
Angola,973,991,1020,1070,1110,1120,1080,1090,1160,1200,1220,1230,1220,1250,1310,1310,1350,1370,1400,1450,1500,1550,1600,1640,1650,1690,1720,1800,1870,1930
Albania,125,136,132,131,125,133,141,158,170,163,151,148,154,165,170,169,162,158,163,160,160,160,158,157,158,160,158,156,154,152
United Arab Emirates,114,121,130,140,147,161,170,181,190,200,204,213,223,222,224,231,265,339,432,516,541,562,580,610,636,645,648,648,655,664
Argentina,2760,2870,3070,3190,3340,3500,3710,3970,4160,4330,4390,4550,4600,4460,4290,4280,4310,4500,4550,4570,4580,4680,4780,4840,4810,4770,4930,4980,5010,5030
Armenia,105,110,128,142,148,142,139,134,129,128,127,137,146,156,180,211,249,264,277,286,296,306,308,299,297,302,297,289,289,287
Australia,2340,2360,2390,2380,2470,2530,2600,2680,2720,2670,2580,2500,2450,2430,2380,2360,2370,2460,2560,2610,2670,2690,2720,2770,2910,3010,2930,2860,2880,2900
Austria,1860,1860,1830,1820,1810,1780,1740,1660,1610,1590,1580,1530,1530,1500,1470,1450,1420,1410,1400,1440,1450,1450,1450,1450,1450,1470,1460,1440,1430,1420
Azerbaijan,224,231,272,275,272,220,198,198,202,213,233,266,284,314,345,373,392,416,410,406,408,406,398,394,387,376,368,369,375,379
Burundi,615,617,619,644,656,657,658,656,651,636,626,602,598,602,611,618,618,619,626,633,648,661,678,690,696,702,714,737,774,800
Belgium,2190,2190,2250,2310,2340,2350,2330,2340,2330,2320,2360,2340,2310,2290,2240,2240,2230,2280,2370,2360,2360,2370,2360,2320,2260,2250,2230,2240,2230,2210
Benin,282,292,303,315,332,349,367,383,400,414,431,443,456,468,480,490,500,514,532,557,582,607,623,640,658,668,690,714,723,742
Burkina Faso,700,700,711,727,743,763,774,797,822,832,851,855,864,891,922,950,962,979,990,1010,1070,1100,1170,1230,1300,1350,1420,1480,1530,1550
Bangladesh,109000,103000,105000,105000,105000,107000,105000,101000,9690,9290,9380,9100,8780,8460,8240,8340,8480,8470,8250,8240,8130,7530,7120,6950,6970,6860,6890,7100,7210,7370
